area,baths,beds,parking,date,main_img,price,address,property_type,agent_name,company_name,logo,maps,check_date,auction_date,school_list,url,village_name,DOMAINSAYS,number,agent_low_price
45m²,1.0,3.0,1.0,Organise an inspection,https://rimh2.domainstatic.com.au/XZy7l6iD_jvW2IMhPEuy5mWruEw=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2018430651_1_1_230321_015426-w1200-h900,Contact Agent,Lot B11/Precinct 2A Wirra Drive New Port SA 5015,Vacant land,Michael Kourbelis,Lin Andrews Real Estate,,"-34.844873,138.4946315",,,"[{""school_name"": ""Le Fevre Peninsula Primary School"", ""school_distance"": ""0.5 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/le-fevre-peninsula-primary-school-sa-5015-7143""}, {""school_name"": ""Le Fevre High School"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/le-fevre-high-school-sa-5019-6882""}, {""school_name"": ""Portside Christian College"", ""school_distance"": ""0.7 km"", ""school_types"": ""R-12"", ""href"": ""https://www.domain.com.au/schools/portside-christian-school-sa-5015-7309""}]",https://www.domain.com.au/lot-b11-precinct-2a-wirra-drive-new-port-sa-5015-2018431736,NEW PORT,"First listed on 21 March, this property has been on Domain for 28 days.",5015,0
,1.0,3.0,1.0,Organise an inspection,https://rimh2.domainstatic.com.au/8QheWpgAk9l6i0SnUB2WFuQ-mhQ=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2018466084_1_1_230406_062029-w4000-h3000,$25000,"Lot 11/ Inlet Marina, Tarni Court New Port SA 5015",Vacant land,Caleb Robins,Professionals Prospect,,"-34.8458955,138.4949971",,,"[{""school_name"": ""Le Fevre Peninsula Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/le-fevre-peninsula-primary-school-sa-5015-7143""}, {""school_name"": ""Le Fevre High School"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/le-fevre-high-school-sa-5019-6882""}, {""school_name"": ""Portside Christian College"", ""school_distance"": ""0.6 km"", ""school_types"": ""R-12"", ""href"": ""https://www.domain.com.au/schools/portside-christian-school-sa-5015-7309""}]",https://www.domain.com.au/lot-11-inlet-marina-tarni-court-new-port-sa-5015-2018466084,NEW PORT,"First listed on 6 April, this property has been on Domain for 12 days (last updated on 6 April).",5015,0
,,,,Organise an inspection,https://rimh2.domainstatic.com.au/SYeB7IdZu3N4xrrkDfoWMiVQ7bA=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2014249690_1_pi_180315_055311-w1920-h1152,"$37,900",I26 - 10m/161 Oliver Rogers Road Outer Harbor SA 5018,Vacant land,Robbie Robinson RLA 276461,LJ Hooker North Haven - Port Adelaide,,"-34.7757049,138.4886443",,,"[{""school_name"": ""North Haven School"", ""school_distance"": ""1.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/north-haven-schools-sa-5018-7243""}, {""school_name"": ""Ocean View P-12 College"", ""school_distance"": ""3.4 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/ocean-view-b12-school-sa-5017-6856""}, {""school_name"": ""Our Lady of the Visitation School"", ""school_distance"": ""3.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/our-lady-of-the-visitation-primary-school-sa-5017-7259""}]",https://www.domain.com.au/i26-10m-161-oliver-rogers-road-outer-harbor-sa-5018-2014249690,OUTER HARBOR,,5018,0
,,,,Organise an inspection,https://rimh2.domainstatic.com.au/Wen9qYRsUXRUSAPpMZun80JBz1U=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2014949465_1_1_190215_023132-w1440-h1920,"$24,900",J32 - 10m Heritage Cove North Haven SA 5018,Vacant land,Robbie Robinson,LJ Hooker North Haven - Port Adelaide,,"-34.78869450000001,138.4943814",,,"[{""school_name"": ""North Haven School"", ""school_distance"": ""0.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/north-haven-schools-sa-5018-7243""}, {""school_name"": ""Ocean View P-12 College"", ""school_distance"": ""1.9 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/ocean-view-b12-school-sa-5017-6856""}, {""school_name"": ""Our Lady of the Visitation School"", ""school_distance"": ""1.9 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/our-lady-of-the-visitation-primary-school-sa-5017-7259""}]",https://www.domain.com.au/j32-10m-heritage-cove-north-haven-sa-5018-2014949465,NORTH HAVEN,,5018,0
,,,,Organise an inspection,https://rimh2.domainstatic.com.au/Nf44Zbatl-Nnn1i6h1tUUt5cpEE=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2015967226_1_1_191216_114453-w820-h615,"$22,900",E11 - 13m/161 Oliver Rogers Road Outer Harbor SA 5018,Vacant land,Robbie Robinson,LJ Hooker North Haven - Port Adelaide,,"-34.7757049,138.4886443",,,"[{""school_name"": ""North Haven School"", ""school_distance"": ""1.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/north-haven-schools-sa-5018-7243""}, {""school_name"": ""Ocean View P-12 College"", ""school_distance"": ""3.4 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/ocean-view-b12-school-sa-5017-6856""}, {""school_name"": ""Our Lady of the Visitation School"", ""school_distance"": ""3.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/our-lady-of-the-visitation-primary-school-sa-5017-7259""}]",https://www.domain.com.au/e11-13m-161-oliver-rogers-road-outer-harbor-sa-5018-2015967226,OUTER HARBOR,,5018,0
,1.0,4.0,3.0,Organise an inspection,https://rimh2.domainstatic.com.au/P3oYmO3owNr2m4jcyao7VRPAPsI=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2014325795_1_pi_180419_045348-w1920-h1152,"$49,900",G05/161 Oliver Rogers Road Outer Harbor SA 5018,Vacant land,Robbie Robinson,LJ Hooker North Haven - Port Adelaide,,"-34.7762458,138.4879029",,,"[{""school_name"": ""North Haven School"", ""school_distance"": ""1.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/north-haven-schools-sa-5018-7243""}, {""school_name"": ""Ocean View P-12 College"", ""school_distance"": ""3.4 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/ocean-view-b12-school-sa-5017-6856""}, {""school_name"": ""Our Lady of the Visitation School"", ""school_distance"": ""3.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/our-lady-of-the-visitation-primary-school-sa-5017-7259""}]",https://www.domain.com.au/g05-161-oliver-rogers-road-outer-harbor-sa-5018-2014325795,OUTER HARBOR,,5018,0
,,,,Organise an inspection,https://rimh2.domainstatic.com.au/tBBfmpu4aCLlgH6rgQol9Mh_kkc=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2014941052_1_1_190426_072448-w800-h600,"$22,900",D32 - 9.5m Refuge Cove North Haven SA 5018,Vacant land,Robbie Robinson,LJ Hooker North Haven - Port Adelaide,,"-34.786004,138.4886567",,,"[{""school_name"": ""North Haven School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/north-haven-schools-sa-5018-7243""}, {""school_name"": ""Ocean View P-12 College"", ""school_distance"": ""2.3 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/ocean-view-b12-school-sa-5017-6856""}, {""school_name"": ""Our Lady of the Visitation School"", ""school_distance"": ""2.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/our-lady-of-the-visitation-primary-school-sa-5017-7259""}]",https://www.domain.com.au/d32-9-5m-refuge-cove-north-haven-sa-5018-2014941052,NORTH HAVEN,,5018,0
,1.0,1.0,3.0,Organise an inspection,https://rimh2.domainstatic.com.au/EixSXsb5_o-cuU4UJ-lxfi2kgBE=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2015222327_1_1_200903_020747-w1920-h1440,"$49,900",J51 - 12.9m Heritage Cove North Haven SA 5018,Vacant land,Robbie Robinson,LJ Hooker North Haven - Port Adelaide,,"-34.78869450000001,138.4943814",,,"[{""school_name"": ""North Haven School"", ""school_distance"": ""0.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/north-haven-schools-sa-5018-7243""}, {""school_name"": ""Ocean View P-12 College"", ""school_distance"": ""1.9 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/ocean-view-b12-school-sa-5017-6856""}, {""school_name"": ""Our Lady of the Visitation School"", ""school_distance"": ""1.9 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/our-lady-of-the-visitation-primary-school-sa-5017-7259""}]",https://www.domain.com.au/j51-12-9m-heritage-cove-north-haven-sa-5018-2015222327,NORTH HAVEN,,5018,0
,1.0,2.0,1.0,Organise an inspection,https://rimh2.domainstatic.com.au/blWJQoeawnDzksC21rZTmRhaikM=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2016212060_1_1_200414_050453-w1440-h1920,"$19,900",C43 - 9m Refuge Cove North Haven SA 5018,Vacant land,Robbie Robinson,LJ Hooker North Haven - Port Adelaide,,"-34.786004,138.4886567",,,"[{""school_name"": ""North Haven School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/north-haven-schools-sa-5018-7243""}, {""school_name"": ""Ocean View P-12 College"", ""school_distance"": ""2.3 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/ocean-view-b12-school-sa-5017-6856""}, {""school_name"": ""Our Lady of the Visitation School"", ""school_distance"": ""2.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/our-lady-of-the-visitation-primary-school-sa-5017-7259""}]",https://www.domain.com.au/c43-9m-refuge-cove-north-haven-sa-5018-2016212060,NORTH HAVEN,,5018,0
,,,,Organise an inspection,https://rimh2.domainstatic.com.au/GR6Tkm29wRjD6v6G399dDtBS1yQ=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2016596221_1_1_201103_050621-w820-h615,"$25,000",D58 - 9.5 metre/5 Alexa Road - Refuge Cove North Haven SA 5018,Vacant land,Robbie Robinson,LJ Hooker North Haven - Port Adelaide,,"-34.7858816,138.4887614",,,"[{""school_name"": ""North Haven School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/north-haven-schools-sa-5018-7243""}, {""school_name"": ""Ocean View P-12 College"", ""school_distance"": ""2.3 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/ocean-view-b12-school-sa-5017-6856""}, {""school_name"": ""Our Lady of the Visitation School"", ""school_distance"": ""2.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/our-lady-of-the-visitation-primary-school-sa-5017-7259""}]",https://www.domain.com.au/d58-9-5-metre-5-alexa-road-refuge-cove-north-haven-sa-5018-2016596221,NORTH HAVEN,,5018,0
