,area,baths,beds,parking,date,price,property_type,agent_name,school_list,agent_low_price,village_name,number,clean_price,price_k,price_per_m^2
59,302.0,1.0,2.0,1.0,Organise an inspection,Price From Low $200k,Block of Units,Jun Chi,"[{""school_name"": ""Magill School"", ""school_distance"": ""0.1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/magill-primary-school-sa-5072-7165""}, {""school_name"": ""Norwood International High School"", ""school_distance"": ""0.7 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5072-49470""}, {""school_name"": ""Norwood Morialta High School - Senior Campus"", ""school_distance"": ""0.7 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-senior-campus-sa-5072-50490""}]",150000,MAGILL,5072,200000.0,200.0,0.6622516556291391
117,280.0,1.0,2.0,1.0,Organise an inspection,"$245,000 - $255,000",Apartment / Unit / Flat,,"[{""school_name"": ""Charles Campbell College"", ""school_distance"": ""1.7 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""3.1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""1.8 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",200000,CAMPBELLTOWN,5074,250000.0,250.0,0.8928571428571429
223,325.0,1.0,2.0,1.0,,"SOLD - $370,000",Apartment / Unit / Flat,Tony D'angelica,"[{""school_name"": ""Charles Campbell College"", ""school_distance"": ""0.5 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.6 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""0.6 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",250000,NEWTON,5074,370000.0,370.0,1.1384615384615384
224,199.0,2.0,3.0,1.0,Organise an inspection,"$300,000 - $320,000",Vacant land,Ryan Stapleton,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.4 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",250000,LIGHTSVIEW,5085,310000.0,310.0,1.5577889447236182
225,250.0,2.0,4.0,2.0,Organise an inspection,"$265,000",Vacant land,Paul Leombruno,"[{""school_name"": ""Modbury South Primary School"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/modbury-south-primary-school-sa-5090-7196""}, {""school_name"": ""Avenues College"", ""school_distance"": ""3.1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Modbury High School"", ""school_distance"": ""1.4 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/modbury-high-school-sa-5092-6855""}]",250000,HOLDEN HILL,5088,265000.0,265.0,1.06
226,250.0,2.0,3.0,2.0,Organise an inspection,"$265,000",Vacant land,Paul Leombruno,"[{""school_name"": ""Modbury South Primary School"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/modbury-south-primary-school-sa-5090-7196""}, {""school_name"": ""Avenues College"", ""school_distance"": ""3.1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Modbury High School"", ""school_distance"": ""1.4 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/modbury-high-school-sa-5092-6855""}]",250000,HOLDEN HILL,5088,265000.0,265.0,1.06
241,334.0,2.0,3.0,1.0,Organise an inspection,"$300,000 - $330,000",Vacant land,,"[{""school_name"": ""Avenues College"", ""school_distance"": ""1.7 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Wandana Primary School"", ""school_distance"": ""0.4 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/wandana-primary-school-sa-5086-7467""}, {""school_name"": ""Valley View Secondary School"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/valley-view-secondary-school-sa-5093-6811""}]",250000,GILLES PLAINS,5086,315000.0,315.0,0.9431137724550899
382,986.0,1.0,2.0,1.0,Organise an inspection,"$320,000 - Retirement",Retirement Living,,"[{""school_name"": ""East Torrens Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/east-torrens-primary-school-sa-5073-7002""}, {""school_name"": ""Stradbroke School"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/stradbroke-junior-primary-school-sa-5073-7414""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.9 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}]",300000,ROSTREVOR,5073,320000.0,320.0,0.32454361054766734
383,986.0,1.0,3.0,2.0,Organise an inspection,"$350,000 - $380,000",Vacant land,George De Vizio,"[{""school_name"": ""Athelstone School"", ""school_distance"": ""0.6 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/athelstone-junior-primary-school-sa-5076-6917""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.3 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""2.4 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}]",300000,ATHELSTONE,5076,365000.0,365.0,0.37018255578093306
386,986.0,1.0,2.0,1.0,Organise an inspection,"$320,000 - $350,000",Apartment / Unit / Flat,Jimmy Wu,"[{""school_name"": ""Hillcrest Primary School"", ""school_distance"": ""0.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hillcrest-primary-school-sa-5086-1919""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.9 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",300000,GREENACRES,5086,335000.0,335.0,0.33975659229208927
